Q1 5090 5029 5069 5049 5045 5072 5028 5063 5051
Q3 16848 16496 16471 16486 16493 16508 16528 16589 16536
Q4 1647 1376 1288 1232 1201 1231 1196 1210 1240
Q5 25851 25829 25907 25735 25871 25805 25859 25915 25794
Q6 1228 1132 1090 1186 1129 1130 1102 1105 1111
#Q7m 17 13 13 12 16 12 11 12 11
Q8m 3911 3592 3615 3642 3644 3619 3606 3641 3607
Q9m 32880 32836 32844 32843 32768 32918 33098 32903 32811
Q10 22752 22793 22826 22831 22802 22751 22784 22661 22803
#Q10m 4805 4418 4455 4373 4302 4264 4232 4192 4224
Q14 1092 997 1000 1001 1004 993 989 1003 981
